Producto;Usuario;Día;Turno;Avance_turno;Abosorción;TargetC
TIPO K;BernardoA;martes;Noche;Inicio;0.485;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Inicio;0.487;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Inicio;0.487;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Inicio;0.487;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Inicio;0.487;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Inicio;0.487;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Inicio;0.487;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Inicio;0.487;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Inicio;0.487;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Inicio;0.487;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Medio;0.488;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Medio;0.488;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Medio;0.488;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Medio;0.488;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Medio;0.488;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Medio;0.488;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Medio;0.488;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Medio;0.488;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Medio;0.488;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Medio;0.488;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Medio;0.488;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Medio;0.488;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Medio;0.488;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Medio;0.488;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Medio;0.488;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Medio;0.488;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Medio;0.488;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Medio;0.488;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Medio;0.488;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Medio;0.488;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Medio;0.488;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Medio;0.488;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Medio;0.488;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Medio;0.488;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Medio;0.488;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Medio;0.488;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Medio;0.488;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Medio;0.488;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Medio;0.488;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Medio;0.488;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Medio;0.488;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Medio;0.488;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Medio;0.488;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Medio;0.488;Sobrepeso
TIPO K;DivisorA;martes;Mañana;Término;0.480;Sobrepeso
TIPO K;MauricioM;martes;Tarde;Inicio;0.477;Sobrepeso
TIPO K;MauricioM;martes;Tarde;Inicio;0.477;Sobrepeso
TIPO K;MauricioM;martes;Tarde;Inicio;0.477;Sobrepeso
TIPO K;MauricioM;martes;Tarde;Medio;0.487;Sobrepeso
TIPO K;MauricioM;martes;Tarde;Medio;0.487;Sobrepeso
TIPO K;MauricioM;martes;Tarde;Medio;0.487;Sobrepeso
TIPO K;MauricioM;martes;Tarde;Medio;0.487;Sobrepeso
TIPO K;MauricioM;martes;Tarde;Medio;0.487;Sobrepeso
TIPO K;MauricioM;martes;Tarde;Término;0.488;Sobrepeso
TIPO K;MauricioM;martes;Noche;Inicio;0.485;Sobrepeso
TIPO K;BernardoA;martes;Noche;Inicio;0.485;Sobrepeso
TIPO K;BernardoA;martes;Noche;Inicio;0.485;Sobrepeso
TIPO K;BernardoA;martes;Noche;Inicio;0.485;Sobrepeso
TIPO K;BernardoA;martes;Noche;Inicio;0.485;Sobrepeso
TIPO K;BernardoA;martes;Noche;Inicio;0.485;Sobrepeso
TIPO K;BernardoA;martes;Noche;Inicio;0.485;Sobrepeso
TIPO K;BernardoA;martes;Noche;Inicio;0.485;Sobrepeso
TIPO K;BernardoA;miércoles;Noche;Inicio;0.485;Sobrepeso
TIPO K;BernardoA;miércoles;Noche;Inicio;0.485;Sobrepeso
TIPO K;BernardoA;miércoles;Noche;Inicio;0.485;Sobrepeso
TIPO K;BernardoA;miércoles;Noche;Inicio;0.485;Sobrepeso
TIPO K;BernardoA;miércoles;Noche;Inicio;0.485;Sobrepeso
TIPO K;BernardoA;miércoles;Noche;Inicio;0.485;Sobrepeso
TIPO K;BernardoA;miércoles;Noche;Inicio;0.485;Sobrepeso
TIPO K;BernardoA;miércoles;Noche;Inicio;0.485;Sobrepeso
TIPO K;BernardoA;miércoles;Noche;Inicio;0.485;Sobrepeso
TIPO K;BernardoA;miércoles;Noche;Inicio;0.485;Sobrepeso
TIPO K;BernardoA;miércoles;Noche;Inicio;0.485;Sobrepeso
TIPO K;BernardoA;miércoles;Noche;Inicio;0.485;Sobrepeso
TIPO K;BernardoA;miércoles;Noche;Inicio;0.485;Sobrepeso
TIPO K;BernardoA;miércoles;Noche;Medio;0.486;Sobrepeso
TIPO K;BernardoA;miércoles;Noche;Medio;0.486;Sobrepeso
TIPO K;BernardoA;miércoles;Noche;Medio;0.486;Sobrepeso
TIPO K;BernardoA;miércoles;Noche;Medio;0.486;Sobrepeso
TIPO K;BernardoA;miércoles;Noche;Medio;0.486;Sobrepeso
TIPO K;BernardoA;miércoles;Noche;Término;0.485;Sobrepeso
TIPO K;BernardoA;miércoles;Noche;Término;0.485;Sobrepeso
TIPO K;BernardoA;miércoles;Noche;Término;0.485;Sobrepeso
TIPO K;BernardoA;miércoles;Noche;Término;0.485;Sobrepeso
TIPO K;DivisorA;miércoles;Mañana;Inicio;0.485;Sobrepeso
TIPO K;DivisorA;miércoles;Mañana;Inicio;0.485;Sobrepeso
TIPO K;MauricioM;miércoles;Tarde;Inicio;0.485;Sobrepeso
TIPO K;MauricioM;miércoles;Tarde;Inicio;0.485;Sobrepeso
TIPO K;DivisorA;lunes;Noche;Medio;0.485;Sobrepeso
TIPO K;DivisorA;lunes;Noche;Medio;0.485;Sobrepeso
TIPO K;DivisorA;lunes;Noche;Medio;0.485;Sobrepeso
TIPO K;DivisorA;lunes;Noche;Medio;0.485;Sobrepeso
