Producto,Usuario,Día,Turno,Avance_turno,Abosorción,Value
TIPO K,BernardoA,martes,Noche,Inicio,48.5,0
TIPO K,BernardoA,martes,Mañana,Inicio,48.7,0
TIPO K,BernardoA,martes,Mañana,Inicio,48.7,1
TIPO K,BernardoA,martes,Mañana,Inicio,48.7,1
TIPO K,DivisorA,martes,Mañana,Inicio,48.7,0
TIPO K,DivisorA,martes,Mañana,Inicio,48.7,1
TIPO K,DivisorA,martes,Mañana,Inicio,48.7,1
TIPO K,DivisorA,martes,Mañana,Inicio,48.7,0
TIPO K,DivisorA,martes,Mañana,Inicio,48.7,1
TIPO K,DivisorA,martes,Mañana,Inicio,48.7,1
TIPO K,DivisorA,martes,Mañana,Medio,48.8,1
TIPO K,DivisorA,martes,Mañana,Medio,48.8,1
TIPO K,DivisorA,martes,Mañana,Medio,48.8,1
TIPO K,DivisorA,martes,Mañana,Medio,48.8,1
TIPO K,DivisorA,martes,Mañana,Medio,48.8,1
TIPO K,DivisorA,martes,Mañana,Medio,48.8,1
TIPO K,DivisorA,martes,Mañana,Medio,48.8,1
TIPO K,DivisorA,martes,Mañana,Medio,48.8,1
TIPO K,DivisorA,martes,Mañana,Medio,48.8,1
TIPO K,DivisorA,martes,Mañana,Medio,48.8,1
TIPO K,DivisorA,martes,Mañana,Medio,48.8,1
TIPO K,DivisorA,martes,Mañana,Medio,48.8,1
TIPO K,DivisorA,martes,Mañana,Medio,48.8,0
TIPO K,DivisorA,martes,Mañana,Medio,48.8,1
TIPO K,DivisorA,martes,Mañana,Medio,48.8,1
TIPO K,DivisorA,martes,Mañana,Medio,48.8,1
TIPO K,DivisorA,martes,Mañana,Medio,48.8,1
TIPO K,DivisorA,martes,Mañana,Medio,48.8,1
TIPO K,DivisorA,martes,Mañana,Medio,48.8,0
TIPO K,DivisorA,martes,Mañana,Medio,48.8,1
TIPO K,DivisorA,martes,Mañana,Medio,48.8,1
TIPO K,DivisorA,martes,Mañana,Medio,48.8,1
TIPO K,DivisorA,martes,Mañana,Medio,48.8,1
TIPO K,DivisorA,martes,Mañana,Medio,48.8,1
TIPO K,DivisorA,martes,Mañana,Medio,48.8,1
TIPO K,DivisorA,martes,Mañana,Medio,48.8,1
TIPO K,DivisorA,martes,Mañana,Medio,48.8,0
TIPO K,DivisorA,martes,Mañana,Medio,48.8,1
TIPO K,DivisorA,martes,Mañana,Medio,48.8,1
TIPO K,DivisorA,martes,Mañana,Medio,48.8,1
TIPO K,DivisorA,martes,Mañana,Medio,48.8,1
TIPO K,DivisorA,martes,Mañana,Medio,48.8,1
TIPO K,DivisorA,martes,Mañana,Medio,48.8,1
TIPO K,DivisorA,martes,Mañana,Medio,48.8,1
TIPO K,DivisorA,martes,Mañana,Término,48,1
TIPO K,MauricioM,martes,Tarde,Inicio,47.7,1
TIPO K,MauricioM,martes,Tarde,Inicio,47.7,0
TIPO K,MauricioM,martes,Tarde,Inicio,47.7,0
TIPO K,MauricioM,martes,Tarde,Medio,48.7,1
TIPO K,MauricioM,martes,Tarde,Medio,48.7,0
TIPO K,MauricioM,martes,Tarde,Medio,48.7,0
TIPO K,MauricioM,martes,Tarde,Medio,48.7,0
TIPO K,MauricioM,martes,Tarde,Medio,48.7,0
TIPO K,MauricioM,martes,Tarde,Término,48.8,1
TIPO K,MauricioM,martes,Noche,Inicio,48.5,1
TIPO K,BernardoA,martes,Noche,Inicio,48.5,1
TIPO K,BernardoA,martes,Noche,Inicio,48.5,0
TIPO K,BernardoA,martes,Noche,Inicio,48.5,1
TIPO K,BernardoA,martes,Noche,Inicio,48.5,1
TIPO K,BernardoA,martes,Noche,Inicio,48.5,0
TIPO K,BernardoA,martes,Noche,Inicio,48.5,0
TIPO K,BernardoA,martes,Noche,Inicio,48.5,1
TIPO K,BernardoA,miércoles,Noche,Inicio,48.5,0
TIPO K,BernardoA,miércoles,Noche,Inicio,48.5,1
TIPO K,BernardoA,miércoles,Noche,Inicio,48.5,1
TIPO K,BernardoA,miércoles,Noche,Inicio,48.5,0
TIPO K,BernardoA,miércoles,Noche,Inicio,48.5,1
TIPO K,BernardoA,miércoles,Noche,Inicio,48.5,1
TIPO K,BernardoA,miércoles,Noche,Inicio,48.5,0
TIPO K,BernardoA,miércoles,Noche,Inicio,48.5,0
TIPO K,BernardoA,miércoles,Noche,Inicio,48.5,0
TIPO K,BernardoA,miércoles,Noche,Inicio,48.5,0
TIPO K,BernardoA,miércoles,Noche,Inicio,48.5,0
TIPO K,BernardoA,miércoles,Noche,Inicio,48.5,1
TIPO K,BernardoA,miércoles,Noche,Inicio,48.5,0
TIPO K,BernardoA,miércoles,Noche,Medio,48.6,0
TIPO K,BernardoA,miércoles,Noche,Medio,48.6,1
TIPO K,BernardoA,miércoles,Noche,Medio,48.6,0
TIPO K,BernardoA,miércoles,Noche,Medio,48.6,1
TIPO K,BernardoA,miércoles,Noche,Medio,48.6,1
TIPO K,BernardoA,miércoles,Noche,Término,48.5,1
TIPO K,BernardoA,miércoles,Noche,Término,48.5,1
TIPO K,BernardoA,miércoles,Noche,Término,48.5,1
TIPO K,BernardoA,miércoles,Noche,Término,48.5,1
TIPO K,DivisorA,miércoles,Mañana,Inicio,48.5,0
TIPO K,DivisorA,miércoles,Mañana,Inicio,48.5,1
TIPO K,MauricioM,miércoles,Tarde,Inicio,48.5,1
TIPO K,MauricioM,miércoles,Tarde,Inicio,48.5,1
TIPO K,DivisorA,lunes,Noche,Medio,48.5,1
TIPO K,DivisorA,lunes,Noche,Medio,48.5,1
TIPO K,DivisorA,lunes,Noche,Medio,48.5,1
TIPO K,DivisorA,lunes,Noche,Medio,48.5,0
TIPO K,DivisorA,lunes,Noche,Medio,48.5,0
TIPO K,DivisorA,lunes,Noche,Medio,48.5,0
TIPO K,DivisorA,lunes,Noche,Medio,48.5,0
TIPO K,DivisorA,lunes,Noche,Medio,48.5,1
TIPO K,DivisorA,lunes,Noche,Medio,48.5,1
TIPO K,DivisorA,lunes,Noche,Término,48.4,0
TIPO K,DivisorA,lunes,Noche,Término,48.4,1
TIPO K,DivisorA,lunes,Noche,Término,48.4,1
TIPO K,DivisorA,lunes,Noche,Término,48.4,0
TIPO K,DivisorA,lunes,Noche,Término,48.4,0
TIPO K,DivisorA,lunes,Noche,Término,48.4,1
