Producto,Usuario,Día,Turno,Avance_turno,Abosorción,Value
TIPO K,Turno_C,martes,Noche,Inicio,48.5,No_sobre_peso
TIPO K,Turno_C,martes,Mañana,Inicio,48.7,No_sobre_peso
TIPO K,Turno_C,martes,Mañana,Inicio,48.7,Sobre_eso
TIPO K,Turno_C,martes,Mañana,Inicio,48.7,Sobre_eso
TIPO K,Turno_A,martes,Mañana,Inicio,48.7,No_sobre_peso
TIPO K,Turno_A,martes,Mañana,Inicio,48.7,Sobre_eso
TIPO K,Turno_A,martes,Mañana,Inicio,48.7,Sobre_eso
TIPO K,Turno_A,martes,Mañana,Inicio,48.7,No_sobre_peso
TIPO K,Turno_A,martes,Mañana,Inicio,48.7,Sobre_eso
TIPO K,Turno_A,martes,Mañana,Inicio,48.7,Sobre_eso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,Sobre_eso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,Sobre_eso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,Sobre_eso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,Sobre_eso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,Sobre_eso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,Sobre_eso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,Sobre_eso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,Sobre_eso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,Sobre_eso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,Sobre_eso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,Sobre_eso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,Sobre_eso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,No_sobre_peso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,Sobre_eso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,Sobre_eso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,Sobre_eso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,Sobre_eso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,Sobre_eso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,No_sobre_peso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,Sobre_eso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,Sobre_eso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,Sobre_eso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,Sobre_eso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,Sobre_eso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,Sobre_eso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,Sobre_eso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,No_sobre_peso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,Sobre_eso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,Sobre_eso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,Sobre_eso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,Sobre_eso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,Sobre_eso
