Producto,Usuario,Día,Turno,Avance_turno,Abosorción,Value
TIPO K,BernardoA,martes,Noche,Inicio,0.485,Bajo peso
TIPO K,BernardoA,martes,Mañana,Inicio,0.487,Bajo peso
TIPO K,BernardoA,martes,Mañana,Inicio,0.487,Sobre peso
TIPO K,BernardoA,martes,Mañana,Inicio,0.487,Sobre peso
TIPO K,DivisorA,martes,Mañana,Inicio,0.487,En rango
TIPO K,DivisorA,martes,Mañana,Inicio,0.487,Sobre peso
TIPO K,DivisorA,martes,Mañana,Inicio,0.487,Sobre peso
TIPO K,DivisorA,martes,Mañana,Inicio,0.487,Bajo peso
TIPO K,DivisorA,martes,Mañana,Inicio,0.487,Sobre peso
TIPO K,DivisorA,martes,Mañana,Inicio,0.487,Sobre peso
TIPO K,DivisorA,martes,Mañana,Medio,0.488,Sobre peso
TIPO K,DivisorA,martes,Mañana,Medio,0.488,Sobre peso
TIPO K,DivisorA,martes,Mañana,Medio,0.488,Sobre peso
TIPO K,DivisorA,martes,Mañana,Medio,0.488,Sobre peso
TIPO K,DivisorA,martes,Mañana,Medio,0.488,Sobre peso
TIPO K,DivisorA,martes,Mañana,Medio,0.488,Sobre peso
TIPO K,DivisorA,martes,Mañana,Medio,0.488,Sobre peso
TIPO K,DivisorA,martes,Mañana,Medio,0.488,Sobre peso
TIPO K,DivisorA,martes,Mañana,Medio,0.488,Sobre peso
TIPO K,DivisorA,martes,Mañana,Medio,0.488,Sobre peso
TIPO K,DivisorA,martes,Mañana,Medio,0.488,Sobre peso
TIPO K,DivisorA,martes,Mañana,Medio,0.488,Sobre peso
TIPO K,DivisorA,martes,Mañana,Medio,0.488,Bajo peso
TIPO K,DivisorA,martes,Mañana,Medio,0.488,Sobre peso
TIPO K,DivisorA,martes,Mañana,Medio,0.488,Sobre peso
TIPO K,DivisorA,martes,Mañana,Medio,0.488,Sobre peso
TIPO K,DivisorA,martes,Mañana,Medio,0.488,Sobre peso
TIPO K,DivisorA,martes,Mañana,Medio,0.488,Sobre peso
TIPO K,DivisorA,martes,Mañana,Medio,0.488,Bajo peso
TIPO K,DivisorA,martes,Mañana,Medio,0.488,Sobre peso
TIPO K,DivisorA,martes,Mañana,Medio,0.488,Sobre peso
TIPO K,DivisorA,martes,Mañana,Medio,0.488,Sobre peso
TIPO K,DivisorA,martes,Mañana,Medio,0.488,Sobre peso
TIPO K,DivisorA,martes,Mañana,Medio,0.488,Sobre peso
TIPO K,DivisorA,martes,Mañana,Medio,0.488,Sobre peso
TIPO K,DivisorA,martes,Mañana,Medio,0.488,Sobre peso
TIPO K,DivisorA,martes,Mañana,Medio,0.488,Bajo peso
TIPO K,DivisorA,martes,Mañana,Medio,0.488,Sobre peso
TIPO K,DivisorA,martes,Mañana,Medio,0.488,Sobre peso
TIPO K,DivisorA,martes,Mañana,Medio,0.488,Sobre peso
TIPO K,DivisorA,martes,Mañana,Medio,0.488,Sobre peso
TIPO K,DivisorA,martes,Mañana,Medio,0.488,Sobre peso
TIPO K,DivisorA,martes,Mañana,Medio,0.488,Sobre peso
