Producto,Usuario,Día,Turno,Avance_turno,Abosorción,Value
TIPO K,Turno_B,martes,Noche,Inicio,48.5,bajo_peso
TIPO K,Turno_B,martes,Mañana,Inicio,48.7,bajo_peso
TIPO K,Turno_B,martes,Mañana,Inicio,48.7,sobre_peso
TIPO K,Turno_B,martes,Mañana,Inicio,48.7,sobre_peso
TIPO K,Turno_A,martes,Mañana,Inicio,48.7,bajo_peso
TIPO K,Turno_A,martes,Mañana,Inicio,48.7,sobre_peso
TIPO K,Turno_A,martes,Mañana,Inicio,48.7,sobre_peso
TIPO K,Turno_A,martes,Mañana,Inicio,48.7,bajo_peso
TIPO K,Turno_A,martes,Mañana,Inicio,48.7,sobre_peso
TIPO K,Turno_A,martes,Mañana,Inicio,48.7,sobre_peso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,sobre_peso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,sobre_peso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,sobre_peso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,sobre_peso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,sobre_peso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,sobre_peso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,sobre_peso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,sobre_peso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,sobre_peso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,sobre_peso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,sobre_peso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,sobre_peso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,bajo_peso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,sobre_peso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,sobre_peso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,sobre_peso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,sobre_peso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,sobre_peso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,bajo_peso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,sobre_peso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,sobre_peso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,sobre_peso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,sobre_peso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,sobre_peso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,sobre_peso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,sobre_peso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,bajo_peso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,sobre_peso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,sobre_peso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,sobre_peso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,sobre_peso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,sobre_peso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,sobre_peso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,sobre_peso
TIPO K,Turno_A,martes,Mañana,Término,48,sobre_peso
TIPO K,Turno_C,martes,Tarde,Inicio,47.7,sobre_peso
TIPO K,Turno_C,martes,Tarde,Inicio,47.7,bajo_peso
TIPO K,Turno_C,martes,Tarde,Inicio,47.7,bajo_peso
TIPO K,Turno_C,martes,Tarde,Medio,48.7,sobre_peso
TIPO K,Turno_C,martes,Tarde,Medio,48.7,bajo_peso
TIPO K,Turno_C,martes,Tarde,Medio,48.7,bajo_peso
TIPO K,Turno_C,martes,Tarde,Medio,48.7,bajo_peso
TIPO K,Turno_C,martes,Tarde,Medio,48.7,bajo_peso
TIPO K,Turno_C,martes,Tarde,Término,48.8,sobre_peso
TIPO K,Turno_C,martes,Noche,Inicio,48.5,sobre_peso
TIPO K,Turno_B,martes,Noche,Inicio,48.5,sobre_peso
TIPO K,Turno_B,martes,Noche,Inicio,48.5,bajo_peso
TIPO K,Turno_B,martes,Noche,Inicio,48.5,sobre_peso
