Producto,Día,User Name,Value,Turno,Avance_turno
GRANDOTA,miércoles,DivisorA,89.6,Mañana,Inicio
GRANDOTA,miércoles,DivisorA,90.2,Mañana,Inicio
GRANDOTA,miércoles,Practicante,92.2,Mañana,Inicio
GRANDOTA,miércoles,Practicante,93,Mañana,Inicio
GRANDOTA,miércoles,Practicante,92.4,Mañana,Inicio
GRANDOTA,miércoles,Practicante,91.2,Mañana,Inicio
GRANDOTA,miércoles,Practicante,88,Mañana,Inicio
GRANDOTA,miércoles,Practicante,91.8,Mañana,Inicio
GRANDOTA,miércoles,Practicante,95,Mañana,Inicio
GRANDOTA,miércoles,Practicante,90,Mañana,Inicio
GRANDOTA,miércoles,Practicante,88.6,Mañana,Inicio
GRANDOTA,miércoles,Practicante,88.8,Mañana,Inicio
GRANDOTA,miércoles,Practicante,85,Mañana,Inicio
GRANDOTA,miércoles,Practicante,92.2,Mañana,Inicio
GRANDOTA,miércoles,Practicante,89.4,Mañana,Inicio
GRANDOTA,miércoles,DivisorA,93.8,Mañana,Medio
GRANDOTA,miércoles,DivisorA,90.2,Mañana,Medio
GRANDOTA,miércoles,DivisorA,90.2,Mañana,Medio
GRANDOTA,miércoles,DivisorA,90.8,Mañana,Medio
GRANDOTA,miércoles,DivisorA,91.8,Mañana,Medio
GRANDOTA,miércoles,DivisorA,91.4,Mañana,Término
GRANDOTA,miércoles,DivisorA,92,Mañana,Término
GRANDOTA,miércoles,DivisorA,92,Mañana,Término
GRANDOTA,miércoles,DivisorA,89.6,Mañana,Término
GRANDOTA,miércoles,DivisorA,89.6,Mañana,Término
GRANDOTA,miércoles,Practicante,94,Mañana,Término
GRANDOTA,miércoles,Practicante,90.2,Mañana,Término
GRANDOTA,miércoles,Practicante,90.8,Mañana,Término
GRANDOTA,miércoles,Practicante,86.2,Mañana,Término
GRANDOTA,miércoles,Practicante,88.6,Mañana,Término
GRANDOTA,miércoles,Practicante,90.6,Mañana,Término
GRANDOTA,miércoles,Practicante,93.6,Mañana,Término
GRANDOTA,miércoles,Practicante,92.4,Mañana,Término
GRANDOTA,miércoles,Practicante,94.4,Mañana,Término
GRANDOTA,miércoles,Practicante,87.6,Mañana,Término
GRANDOTA,miércoles,Practicante,88.6,Mañana,Término
GRANDOTA,miércoles,Practicante,89.8,Mañana,Término
GRANDOTA,miércoles,DivisorA,93.8,Tarde,Inicio
GRANDOTA,miércoles,MauricioM,94.4,Tarde,Inicio
GRANDOTA,miércoles,MauricioM,91.2,Tarde,Inicio
GRANDOTA,miércoles,MauricioM,93,Tarde,Inicio
GRANDOTA,miércoles,MauricioM,94,Tarde,Inicio
GRANDOTA,miércoles,MauricioM,93.6,Tarde,Inicio
GRANDOTA,miércoles,MauricioM,93.6,Tarde,Inicio
GRANDOTA,miércoles,MauricioM,88.6,Tarde,Inicio
GRANDOTA,miércoles,MauricioM,86.2,Tarde,Inicio
GRANDOTA,miércoles,MauricioM,88.4,Tarde,Inicio
GRANDOTA,miércoles,MauricioM,90.4,Tarde,Inicio
GRANDOTA,miércoles,MauricioM,92.2,Tarde,Inicio
GRANDOTA,miércoles,MauricioM,92,Tarde,Inicio
GRANDOTA,miércoles,MauricioM,92.2,Tarde,Medio
GRANDOTA,miércoles,MauricioM,91.2,Tarde,Término
GRANDOTA,miércoles,MauricioM,92.8,Tarde,Término
GRANDOTA,miércoles,BernardoA,91,Noche,Inicio
GRANDOTA,miércoles,BernardoA,91.4,Noche,Inicio
GRANDOTA,miércoles,BernardoA,90.8,Noche,Inicio
GRANDOTA,miércoles,BernardoA,90.8,Noche,Inicio
