Producto;Día;User Name;Value;Turno;Avance_turno
TIPO K;martes;BernardoA;88;Mañana;Inicio
TIPO K;martes;BernardoA;87,8;Mañana;Inicio
TIPO K;martes;BernardoA;91,4;Mañana;Inicio
TIPO K;martes;BernardoA;93,8;Mañana;Inicio
TIPO K;martes;DivisorA;89;Mañana;Inicio
TIPO K;martes;DivisorA;89,4;Mañana;Inicio
TIPO K;martes;DivisorA;91,6;Mañana;Inicio
TIPO K;martes;DivisorA;88,2;Mañana;Inicio
TIPO K;martes;DivisorA;91;Mañana;Inicio
TIPO K;martes;DivisorA;89,4;Mañana;Inicio
TIPO K;martes;DivisorA;89,2;Mañana;Medio
TIPO K;martes;DivisorA;92,4;Mañana;Medio
TIPO K;martes;DivisorA;91,2;Mañana;Medio
TIPO K;martes;DivisorA;92;Mañana;Medio
TIPO K;martes;DivisorA;94,2;Mañana;Medio
TIPO K;martes;DivisorA;89,2;Mañana;Medio
TIPO K;martes;DivisorA;91,2;Mañana;Medio
TIPO K;martes;DivisorA;91,6;Mañana;Medio
TIPO K;martes;DivisorA;91,6;Mañana;Medio
TIPO K;martes;DivisorA;91,8;Mañana;Medio
TIPO K;martes;DivisorA;94,2;Mañana;Medio
TIPO K;martes;DivisorA;89,8;Mañana;Medio
TIPO K;martes;DivisorA;88,8;Mañana;Medio
TIPO K;martes;DivisorA;89,4;Mañana;Medio
TIPO K;martes;DivisorA;90,8;Mañana;Medio
TIPO K;martes;DivisorA;92;Mañana;Medio
TIPO K;martes;DivisorA;94;Mañana;Medio
TIPO K;martes;DivisorA;91;Mañana;Medio
TIPO K;martes;DivisorA;88,6;Mañana;Medio
TIPO K;martes;DivisorA;89,6;Mañana;Medio
TIPO K;martes;DivisorA;94,6;Mañana;Medio
TIPO K;martes;DivisorA;90,6;Mañana;Medio
TIPO K;martes;DivisorA;90,2;Mañana;Medio
TIPO K;martes;DivisorA;92;Mañana;Medio
TIPO K;martes;DivisorA;90;Mañana;Medio
TIPO K;martes;DivisorA;90,4;Mañana;Medio
TIPO K;martes;DivisorA;88;Mañana;Medio
TIPO K;martes;DivisorA;90,2;Mañana;Medio
TIPO K;martes;DivisorA;91,6;Mañana;Medio
TIPO K;martes;DivisorA;90,2;Mañana;Medio
TIPO K;martes;DivisorA;90,2;Mañana;Medio
TIPO K;martes;DivisorA;90,2;Mañana;Medio
TIPO K;martes;DivisorA;91,8;Mañana;Medio
TIPO K;martes;DivisorA;90,2;Mañana;Medio
TIPO K;martes;DivisorA;90;Mañana;Término
TIPO K;martes;MauricioM;93;Tarde;Inicio
TIPO K;martes;MauricioM;88;Tarde;Inicio
TIPO K;martes;MauricioM;88,8;Tarde;Inicio
TIPO K;martes;MauricioM;91,6;Tarde;Medio
TIPO K;martes;MauricioM;89;Tarde;Medio
TIPO K;martes;MauricioM;88;Tarde;Medio
TIPO K;martes;MauricioM;86,2;Tarde;Medio
TIPO K;martes;MauricioM;86,2;Tarde;Medio
TIPO K;martes;MauricioM;91,2;Tarde;Término
TIPO K;martes;MauricioM;89,8;Noche;Inicio
TIPO K;martes;BernardoA;90,8;Noche;Inicio
TIPO K;martes;BernardoA;87;Noche;Inicio
TIPO K;martes;BernardoA;89,4;Noche;Inicio
TIPO K;martes;BernardoA;90,8;Noche;Inicio
TIPO K;martes;BernardoA;87,8;Noche;Inicio
TIPO K;martes;BernardoA;88,2;Noche;Inicio
TIPO K;martes;BernardoA;93,6;Noche;Inicio
TIPO K;miércoles;BernardoA;87,8;Noche;Inicio
TIPO K;miércoles;BernardoA;91,6;Noche;Inicio
TIPO K;miércoles;BernardoA;90;Noche;Inicio
TIPO K;miércoles;BernardoA;88;Noche;Inicio
TIPO K;miércoles;BernardoA;90;Noche;Inicio
TIPO K;miércoles;BernardoA;89,2;Noche;Inicio
TIPO K;miércoles;BernardoA;89;Noche;Inicio
TIPO K;miércoles;BernardoA;87,2;Noche;Inicio
TIPO K;miércoles;BernardoA;85,8;Noche;Inicio
TIPO K;miércoles;BernardoA;88,8;Noche;Inicio
